Model,N,Accuracy,Precision,Recall,F1 Score
AF2,627,0.8181818181818182,0.8089171974522293,0.8246753246753247,0.8167202572347267
AF3,1200,0.9125,0.8985507246376812,0.93,0.914004914004914
Boltz,1200,0.8691666666666666,0.8697829716193656,0.8683333333333333,0.8690575479566305
Chai,1200,0.8691666666666666,0.856682769726248,0.8866666666666667,0.8714168714168714
OpenFold,319,0.670846394984326,0.6556291390728477,0.6513157894736842,0.6534653465346535
Proteinx,1200,0.8341666666666666,0.8336106489184693,0.835,0.8343047460449625
UniFold,67,0.5970149253731343,0.4166666666666667,0.7142857142857143,0.5263157894736842
