Model,RR_mean,RR_var,RR_CI,RP_mean,RP_var,RP_CI,LR_mean,LR_var,LR_CI,LP_mean,LP_var,LP_CI
AF2,0.749,0.077062,0.021729,0.7186,0.083508,0.02262,0.7052,0.075126,0.021454,0.7486,0.075151,0.021458
Boltz,0.7648,0.074844,0.015479,0.7666,0.073323,0.015321,0.7703,0.075527,0.015549,0.7624,0.070026,0.014973
Chai,0.7583,0.077634,0.015765,0.7746,0.069715,0.014939,0.7674,0.074857,0.01548,0.7571,0.075142,0.01551
OpenFold,0.6626,0.061091,0.027124,0.6127,0.081336,0.031297,0.6551,0.062419,0.027417,0.6322,0.06489,0.027954
Proteinx,0.7344,0.08435,0.016433,0.7427,0.082134,0.016215,0.7385,0.078815,0.015884,0.731,0.078712,0.015874
UniFold,0.5876,0.061359,0.059314,0.5431,0.063657,0.060415,0.5892,0.088236,0.071128,0.6116,0.064714,0.060914
