Model,RR_mean,RR_var,RR_CI,RP_mean,RP_var,RP_CI,LR_mean,LR_var,LR_CI,LP_mean,LP_var,LP_CI
AF2,0.7959,0.063272,0.019689,0.7663,0.069891,0.020694,0.7569,0.06389,0.019785,0.7946,0.060901,0.019317
Boltz,0.8098,0.060373,0.013902,0.8121,0.059153,0.013761,0.8152,0.061222,0.014,0.8093,0.056446,0.013443
Chai,0.8034,0.063086,0.014211,0.8203,0.055859,0.013372,0.8117,0.06011,0.013872,0.8029,0.06089,0.013962
OpenFold,0.7182,0.053408,0.025361,0.6644,0.073208,0.029692,0.7111,0.055268,0.025799,0.6861,0.057416,0.026295
Proteinx,0.7811,0.070346,0.015007,0.7884,0.067669,0.014718,0.7857,0.06509,0.014435,0.7775,0.064548,0.014375
UniFold,0.6386,0.054159,0.055725,0.5923,0.05792,0.057628,0.6426,0.082838,0.068918,0.6655,0.05824,0.057787
