Model,N,Accuracy,Precision,Recall,F1 Score
AF2,627,0.7926634768740032,0.7834394904458599,0.7987012987012987,0.7909967845659164
AF3,1200,0.9,0.8883495145631068,0.915,0.9014778325123153
Boltz,1200,0.85,0.847682119205298,0.8533333333333334,0.8504983388704319
Chai,1200,0.85,0.8409090909090909,0.8633333333333333,0.8519736842105263
OpenFold,319,0.6238244514106583,0.6052631578947368,0.6052631578947368,0.6052631578947368
Proteinx,1200,0.81,0.8089700996677741,0.8116666666666666,0.8103161397670549
UniFold,67,0.5522388059701493,0.3783783783783784,0.6666666666666666,0.4827586206896552
