Model 1,Model 2,N Common,Acc 1,Acc 2,p-value,Significant (p<0.05)
AF2,AF3,627,0.8181818181818182,0.9090909090909091,6.286646244211801e-06,True
AF2,Boltz,627,0.8181818181818182,0.8771929824561403,0.004655769521455307,True
AF2,Chai,627,0.8181818181818182,0.8787878787878788,0.0033157326862451584,True
AF2,OpenFold,149,0.8657718120805369,0.6912751677852349,0.0002222449626216872,True
AF2,Proteinx,627,0.8181818181818182,0.8261562998405104,0.7734911416953503,False
AF2,UniFold,37,0.918918918918919,0.6216216216216216,0.00738525390625,True
AF3,Boltz,1200,0.9125,0.8691666666666666,0.0009081891284418302,True
AF3,Chai,1200,0.9125,0.8691666666666666,0.0007364754357923624,True
AF3,OpenFold,319,0.9184952978056427,0.670846394984326,5.139554351717119e-14,True
AF3,Proteinx,1200,0.9125,0.8341666666666666,1.4042131760775666e-08,True
AF3,UniFold,67,0.9253731343283582,0.5970149253731343,2.744048833847046e-05,True
Boltz,Chai,1200,0.8691666666666666,0.8691666666666666,1.0,False
Boltz,OpenFold,319,0.890282131661442,0.670846394984326,1.2611644459620753e-10,True
Boltz,Proteinx,1200,0.8691666666666666,0.8341666666666666,0.01816312498431917,True
Boltz,UniFold,67,0.8805970149253731,0.5970149253731343,0.000310748815536499,True
Chai,OpenFold,319,0.8996865203761756,0.670846394984326,1.3442945758766515e-11,True
Chai,Proteinx,1200,0.8691666666666666,0.8341666666666666,0.02053359609652274,True
Chai,UniFold,67,0.8955223880597015,0.5970149253731343,8.797645568847656e-05,True
OpenFold,Proteinx,319,0.670846394984326,0.8589341692789969,4.987984264648723e-08,True
OpenFold,UniFold,57,0.6666666666666666,0.6666666666666666,1.0,False
Proteinx,UniFold,67,0.8955223880597015,0.5970149253731343,0.00017999112606048584,True
