Model,N,Accuracy,Precision,Recall,F1 Score
AF2,627,0.8022328548644339,0.7911392405063291,0.8116883116883117,0.8012820512820513
AF3,1200,0.905,0.8932038834951457,0.92,0.9064039408866995
Boltz,1200,0.8575,0.8533772652388797,0.8633333333333333,0.8583264291632146
Chai,1200,0.8575,0.8465266558966075,0.8733333333333333,0.859721082854799
OpenFold,319,0.6426332288401254,0.6217948717948718,0.6381578947368421,0.6298701298701299
Proteinx,1200,0.8191666666666667,0.8196994991652755,0.8183333333333334,0.8190158465387823
UniFold,67,0.5671641791044776,0.3888888888888889,0.6666666666666666,0.49122807017543857
